Title,URL,Text,Tag,Author,Date
American Classicist: The Life and Loves of Edith Hamilton by Victoria Houseman,https://theobjectivestandard.com/2024/01/american-classicist-the-life-and-loves-of-edith-hamilton-by-victoria-houseman/,"It’s been almost a century since Edith Hamilton published her classic The Greek Way, and during those years, countless thousands of readers have encountered Greek culture for the first time through her works. Yet despite her achievements, Hamilton has never been the subject of a full biography until now.","Arts & Culture, Reviews",Timothy Sandefur,"January 10, 2024"
"Godzilla Minus One, Written and Directed by Takashi Yamazaki",https://theobjectivestandard.com/2024/01/godzilla-minus-one-written-and-directed-by-takashi-yamazaki/,Godzilla Minus One is no run-of-the-mill monster movie. It is an outstanding story about the value of human life and the immorality of sacrificing it.,"Arts & Culture, Reviews",Thomas Walker-Werth,"January 2, 2024"
Centers of Progress: An Interview with Chelsea Follett,https://theobjectivestandard.com/2023/12/centers-of-progress-an-interview-with-chelsea-follett/,"I recently spoke with Chelsea Follett, managing editor of HumanProgress.org and policy analyst at Cato Institute’s Center for Global Liberty and Prosperity, about her new book, Centers of Progress: 40 Cities That Changed the World. Here is our discussion, edited for clarity and brevity.","History, Politics & Rights, Science & Technology",Thomas Walker-Werth,"December 24, 2023"
Look What You Made Me Do: Taylor Swift’s Fight for Her Creative Legacy,https://theobjectivestandard.com/2023/12/look-what-you-made-me-do-taylor-swifts-fight-for-her-creative-legacy/,"Taylor Swift's story is an example to all that—even when one’s back is against the wall—resourceful, creative thinkers can often find a way out.",Arts & Culture,Justyna Piątek-Pawłowska,"December 22, 2023"
Christmas Music Masterpieces You Probably Haven’t Heard,https://theobjectivestandard.com/2023/12/christmas-music-masterpieces-you-probably-havent-heard/,"Many could stand to expand their holiday soundtrack palette. Toward that end, here are two suggestions, one old and underappreciated, one contemporary but not exactly mainstream, both of which were re-released in new editions this year.","Arts & Culture, Noteworthy",Jon Hersey,"December 19, 2023"
What Is ‘Israeli Occupation’?,https://theobjectivestandard.com/2023/12/what-is-israeli-occupation/,"“Israeli occupation” is on the lips of everyone from Hamas militants to Harvard students, European protestors to American politicians. But what does it actually mean?","History, Politics & Rights",Jon Hersey,"December 19, 2023"
"Wonka, Directed by Paul King",https://theobjectivestandard.com/2023/12/wonka-directed-by-paul-king/,"Despite Wonka’s unfortunate confusion about greed, Wonka is a joyful film that celebrates innovation, entrepreneurship, and win-win relationships. If you’re looking for a fun movie to enjoy with the whole family this holiday season, this is a great pick.","Arts & Culture, Reviews",Angelica Walker-Werth,"December 15, 2023"
Dolly Parton Was Always a Rockstar,https://theobjectivestandard.com/2023/12/dolly-parton-was-always-a-rockstar/,"Dolly Parton has always been a rockstar. Nonetheless, we can count our lucky stars that she decided to record a rock album. The genre is better for it.","Arts & Culture, Noteworthy",Jon Hersey,"December 9, 2023"
"The Hunger Games: The Ballad of Songbirds and Snakes, Directed by Francis Lawrence",https://theobjectivestandard.com/2023/12/the-hunger-games-the-ballad-of-songbirds-and-snakes-directed-by-francis-lawrence/,"The Ballad of Songbirds and Snakes fails its source material in two major ways: It barely touches on the control-versus-freedom conflict central to the book, and it fails to establish Coriolanus as the Hobbesian power luster he appears as in the later films.","Arts & Culture, Reviews",Angelica Walker-Werth,"December 7, 2023"
Delight Your Friends with the Gift of Clarity,https://theobjectivestandard.com/2023/12/218288/,"This holiday season, give the gift of clarity. Your friends and family will love it. Now through December 31, you’ll save 50% on gift subscriptions to TOS.",Announcements,Craig Biddle,"December 5, 2023"
From the Editor: Winter 2023,https://theobjectivestandard.com/2023/11/from-the-editor-winter-2023/,"Welcome to the Winter 2023 issue of The Objective Standard, which caps the journal’s eighteenth year in print, providing clarity on all manner of important issues.",Announcements,Jon Hersey,"November 23, 2023"
Frank Lloyd Wright: Rebel Architect,https://theobjectivestandard.com/2023/11/frank-lloyd-wright-rebel-architect/,It would be hard to name an artist whose influence has been as ubiquitous as Frank Lloyd Wright’s. Yet he achieved his status not by lowering his standards but through a devoted pursuit of his ideals—ideals that gave voice to the principles of individuality and aspiration at the center of the American consciousness.,"Arts & Culture, History",Timothy Sandefur,"November 23, 2023"
Defend Israel and Civilization or Keep the Faith—You Can’t Do Both,https://theobjectivestandard.com/2023/11/defend-israel-and-civilization-or-keep-the-faith-you-cant-do-both/,The October 7 jihad against Israel woke the West from its evasive slumber. Or did it?,Politics & Rights,Craig Biddle,"November 23, 2023"
Ten Great Sci-fi TV Shows that Promote Reason and Individualism,https://theobjectivestandard.com/2023/11/ten-great-sci-fi-tv-shows-that-promote-reason-and-individualism/,"Here are ten quality science fiction television shows that advocate life-serving ideas, particularly respect for reason, individualism, and liberty—the values that will enable us “to boldly go” into a better future.",Arts & Culture,Thomas Walker-Werth,"November 23, 2023"
Hannah Frankman: Rebel Educator,https://theobjectivestandard.com/2023/11/hannah-frankman-rebel-educator/,"In one way or another, Hannah Frankman has spent most of her life in the alternative education sphere: She was homeschooled, then worked for the college-alternative bootstrapping program Praxis before starting her own alternative education company, Rebel Educator. Here’s how and why she’s helping parents take their children out of government schools.",Education & Parenting,Jon Hersey,"November 23, 2023"
Who Is John Galt Mortgage Company?,https://theobjectivestandard.com/2023/11/who-is-john-galt-mortgage-company/,"When I heard that two friends and highly successful businessmen—Tim Chermak and Mitchell Broderick—had launched a new venture called John Galt Mortgage Company, I immediately thought, Brilliant! But I didn’t realize then how brilliant their idea really is.","Ayn Rand & Objectivism, Economics",Jon Hersey,"November 23, 2023"
The Musical Time Machine of Julian Lage,https://theobjectivestandard.com/2023/11/the-musical-time-machine-of-julian-lage/,"Much jazz revels in the obscure, eschewing the pleasing consonances of more popular music. But in Lage’s hands, the genre’s extended harmonic palette is instead used to milk maximum expressiveness from more familiar sonic territory.","Arts & Culture, Noteworthy",Jon Hersey,"November 16, 2023"
Against the New Politics of Identity by Ronald A. Lindsay,https://theobjectivestandard.com/2023/11/against-the-new-politics-of-identity-by-ronald-a-lindsay/,"If American culture is to survive the onslaught of identity politics, it will only be through the efforts of such reasonable and courageous thinkers as Ronald Lindsay.","Politics & Rights, Reviews",Timothy Sandefur,"November 10, 2023"
"The Great Escaper, Directed by Oliver Parker",https://theobjectivestandard.com/2023/11/the-great-escaper-directed-by-oliver-parker/,"The Great Escaper is a touching tribute to important aspects of a life well-lived: honoring your friends, cherishing your spouse, doing the things you want to do even when no one thinks you can, and celebrating the pleasure of being alive.","Arts & Culture, Reviews",Angelica Walker-Werth,"November 8, 2023"
"A Parting Message from The Beatles, and More",https://theobjectivestandard.com/2023/11/noteworthy-the-beatles-tom-bukovac-van-morrison-and-more/,"Hear the Beatles' last song, Tom Bukovac's Plexi Soul (now on vinyl), a new Van Morrison record that makes sitting still impossible, and more.","Arts & Culture, Noteworthy",Jon Hersey,"November 8, 2023"
"New Music from Alice Sara Ott, Duran Duran, Carter Faith, and More",https://theobjectivestandard.com/2023/10/noteworthy-alice-sara-ott-duran-duran-carter-faith-and-more/,"Alice Sara Ott releases a deluxe edition of her Echoes of Life, Duran Duran unearths a Halloween-themed dance-party soundtrack perfect for zombies, werewolves, and witches—and more.","Arts & Culture, Noteworthy",Jon Hersey,"October 31, 2023"
"Killers of the Flower Moon, Directed by Martin Scorsese",https://theobjectivestandard.com/2023/10/killers-of-the-flower-moon-directed-by-martin-scorsese/,"Killers of the Flower Moon is a bloated film with a malevolent sense of life. Despite its enormous runtime, it misses the opportunity to depict both the rights abuses to which the Osage were subjected and the good entrepreneurship they and others engaged in.","Arts & Culture, History, Reviews",Thomas Walker-Werth,"October 28, 2023"
"New Music From The Rolling Stones, Robbie Robertson, Glen Hansard, and More",https://theobjectivestandard.com/2023/10/noteworthy-the-rolling-stones-robbie-robertson-glen-hansard-and-more/,"Robbie Robertson comes around full circle, The Rolling Stones show some new colors, Glen Hansard stares melancholy firmly in the face, and Dave Barnes wields old tricks for new delights.","Arts & Culture, Noteworthy",Jon Hersey,"October 27, 2023"
The Dueling Philosophies of Two New Guitar Albums,https://theobjectivestandard.com/2023/10/noteworthy-the-dueling-philosophies-of-two-new-guitar-albums/,"Two widely celebrated guitarists recently released new records. They represent not merely different musical approaches appropriate to their different genres, but two divergent worldviews.","Arts & Culture, Noteworthy",Jon Hersey,"October 19, 2023"
"Noteworthy: New Music from Joe Bonamassa, Vikingur Ólafsson, and More",https://theobjectivestandard.com/2023/10/noteworthy-new-music-from-joe-bonamassa-vikingur-olafsson-and-more/,"Welcome to “Noteworthy,” a periodic update on new music and related news. This week’s noteworthy picks span the musical universe.","Arts & Culture, Noteworthy",Jon Hersey,"October 13, 2023"
"The Creator, Directed by Gareth Edwards",https://theobjectivestandard.com/2023/10/the-creator-written-and-directed-by-gareth-edwards/,"Instead of dealing with serious and timely issues in a thought-provoking manner, The Creator rehashes familiar tropes and common fears to convey a shallow anti-America story that ignores the moral issues it raises.",Arts & Culture,Angelica Walker-Werth,"October 13, 2023"
"Ahsoka, Created by Dave Filoni",https://theobjectivestandard.com/2023/10/ahsoka-created-and-written-by-dave-filoni/,"Ahsoka's compelling setup makes it far more interesting than many of the recent Star Wars shows. Virtually every character has clear motivation, and the main story is supported by interesting subplots. Although it is not without flaws, it is, on the whole, compelling and exciting.","Arts & Culture, Reviews",Thomas Walker-Werth,"October 6, 2023"
Ayn Rand on ‘Moral Sanction’: What Bryan Caplan Gets Wrong,https://theobjectivestandard.com/2023/09/ayn-rand-on-moral-sanction-what-bryan-caplan-gets-wrong/,"Practicing what Rand advocated requires not only having (and, when appropriate, providing) valid reasons for one’s views and values, but also raising one’s standards of evaluation and refraining from “unprovoked moral denunciations or debates.”",Ayn Rand & Objectivism,Jon Hersey,"September 22, 2023"
"From the Editor, Fall 2023",https://theobjectivestandard.com/2023/08/from-the-editor-fall-2023/,Welcome to the Fall 2023 issue of The Objective Standard. I hope you enjoy the issue.,Announcements,Thomas Walker-Werth,"August 29, 2023"
"GMOs: Good, Man-Made Organisms",https://theobjectivestandard.com/2023/08/gmos-good-man-made-organisms/,"Contrary to decades-long, well-financed efforts to discredit and prohibit GMOs, gene editing is a profoundly life-enhancing technology. GM crops can and have saved lives, improved health, enhanced the soils they are planted in, freed up land, and increased profits for farmers—especially in the developing world.","Politics & Rights, Science & Technology",Angelica Walker-Werth,"August 29, 2023"
Star Trek Inspires People ‘to Boldly Go’,https://theobjectivestandard.com/2023/08/star-trek-inspires-people-to-boldly-go/,"Although its vision for the future is sometimes imperfect, Star Trek has, with its unabashed optimism, celebration of science and technology, and exploration of philosophic and moral questions, inspired countless people to achieve wonderful things.","Arts & Culture, Science & Technology",Thomas Walker-Werth,"August 29, 2023"
Helen Keller’s Five Keys to Being Happy,https://theobjectivestandard.com/2023/08/helen-kellers-five-keys-to-being-happy/,"In 1882, when Helen Keller was nineteen months old, an illness left her blind, deaf, and consequently dumb. But she would go on to live a life of success and happiness. How?","Good Living, Philosophy",Craig Biddle,"August 29, 2023"
Writing against Your Life,https://theobjectivestandard.com/2023/08/writing-against-your-life/,"Richard Mitchell (1929–2002), also known as “the underground grammarian,” was a champion of clarity in thought and communication.",Arts & Culture,Richard Mitchell,"August 29, 2023"
Nine Inspiring Poems about the Future,https://theobjectivestandard.com/2023/08/nine-inspiring-poems-about-the-future/,"Including works by Alfred, Lord Tennyson, Elizabeth Barrett Browning, D. H. Lawrence, Edgar Guest, Arthur Hugh Clough, James Oppenheim, Langston Hughes, William Stanley Braithwaite, and Will Allen Dromgoole.",Arts & Culture,Various Authors,"August 29, 2023"
George Lucas Gets the Moral Meaning of Star Wars Wrong,https://theobjectivestandard.com/2023/08/george-lucas-gets-the-moral-meaning-of-star-wars-wrong/,"George Lucas says that selfishness puts one on the dark side, but it’s really the other way around. Selfishness, properly understood, is the rational concern for one’s own interests. It is the light.","Arts & Culture, Philosophy",Thomas Walker-Werth,"August 29, 2023"
On Choosing to Be a Younger Son,https://theobjectivestandard.com/2023/08/on-choosing-to-be-a-younger-son/,"If you want to be fully alive and fully engaged in living a beautiful life, bear in mind the difference between the older and younger son—and choose to be the latter.",Good Living,Craig Biddle,"August 29, 2023"
OSI Is Seeking a Director of Development,https://theobjectivestandard.com/2023/08/osi-is-seeking-a-director-of-development/,"Are you experienced in fundraising, sales, or management? Would you like to work with the life-loving people at Objective Standard Institute (OSI)? If so, the Director of Development position might be for you.",Announcements,TOS Admin,"August 23, 2023"
The Flower of Forest Park: Innovation in Architecture,https://theobjectivestandard.com/2023/08/the-flower-of-forest-park-innovation-in-architecture/,"One Hundred Above the Park has something to teach us about the history of skyscraper design, the future of apartment design, and the philosophy behind great new architecture.","Arts & Culture, Science & Technology",Seamus Riley,"August 1, 2023"
"Oppenheimer, Written and Directed by Christopher Nolan",https://theobjectivestandard.com/2023/07/oppenheimer-written-and-directed-by-christopher-nolan/,"Oppenheimer was a key mind behind the invention and development of the bombs that ended World War II. He was also haunted by the question of whether producing these bombs was the right thing to do. This question runs throughout Christopher Nolan’s recent biopic, Oppenheimer, hailed by some as “the most epic WWII film yet.""","Arts & Culture, History, Reviews",Angelica Walker-Werth,"July 28, 2023"
"Sound of Freedom, Directed by Alejandro Gómez Monteverde",https://theobjectivestandard.com/2023/07/sound-of-freedom-directed-by-alejandro-gomez-monteverde/,"Although Sound of Freedom is emotionally straining at times, it is nonetheless an excellent and important film about heroic, inspiring people—and a film that hopefully will have a positive impact on real-life efforts to fight child trafficking.","Arts & Culture, Reviews",Tim White,"July 21, 2023"
Robert P. McCulloch: The Man Who Bought London Bridge,https://theobjectivestandard.com/2023/07/the-grand-vision-of-robert-p-mcculloch/,"Robert P. McCulloch worked constantly to grow his wealth and create new things, even when others couldn’t see the potential in his ideas or dismissed them as impossible. He deserves to be remembered as a productive businessman, a pioneering inventor, and, most of all, a visionary.","Biographies, History",Thomas Walker-Werth,"July 11, 2023"
"From the Editor, Summer 2023",https://theobjectivestandard.com/2023/05/from-the-editor-summer-2023/,Welcome to the Summer 2023 issue of The Objective Standard. I hope you enjoy the issue—and that you’ll join the six hundred or so people coming to Phoenix for 2023’s most life-enhancing conference!,Announcements,Jon Hersey,"May 24, 2023"
Navigating Today’s Seductive and Destructive Language (A Study of Package-Deals and Anti-Concepts),https://theobjectivestandard.com/2023/05/navigating-todays-seductive-and-destructive-language-a-study-of-package-deals-and-anti-concepts/,"If we want to understand and protect the values on which human life and liberty depend, we need clear understandings of the terms we use in thinking about them. Toward this end, it is helpful to understand the fallacy that Rand called “package-dealing” and the nature of what she called “anti-concepts.”","Good Living, Philosophy, Politics & Rights",Craig Biddle,"May 24, 2023"
"Adam Smith, Ayn Rand,  and the Philosophic Foundation for Freedom",https://theobjectivestandard.com/2023/05/adam-smith-ayn-rand-and-the-philosophic-foundation-for-freedom/,Adam Smith and Ayn Rand are widely considered to offer merely different flavors of pro-capitalist thought. But their differences are greater—and far more consequential—than their similarities.,"Ayn Rand & Objectivism, Economics, History, Philosophy, Politics & Rights",Jon Hersey,"May 24, 2023"
The Ethics of Belief,https://theobjectivestandard.com/2023/05/the-ethics-of-belief/,"William Kingdon Clifford was a 19th-century English mathematician and philosopher. In this essay, “The Ethics of Belief,” originally published in 1877, he argues that “it is wrong always, everywhere and for any one, to believe anything upon insufficient evidence.”",Philosophy,William Kingdon Clifford,"May 24, 2023"
Living for Pleasure: An Epicurean Guide to Life by Emily A. Austin,https://theobjectivestandard.com/2023/05/living-for-pleasure-an-epicurean-guide-to-life-by-emily-a-austin/,"Living for Pleasure is a fun and much-needed introduction to the ideas of one of the world’s greatest philosophers. Epicurus’s teachings about reason, desire, and tranquility are as important now as they were twenty-three hundred years ago.","Good Living, Philosophy",Timothy Sandefur,"May 18, 2023"
"Debate: Is Objectivism a ""Closed System"" or an ""Open System""?",https://theobjectivestandard.com/2023/05/debate-is-objectivism-a-closed-system-or-an-open-system/,"My debate with Stephen Hicks about whether Objectivism is a closed system or an open system has been posted on YouTube. Check it out—and if you find it clarifying, share it with people you think might appreciate it.","Ayn Rand & Objectivism, Philosophy",Craig Biddle,"May 17, 2023"
LevelUp 2023 Scholarships Close June 14,https://theobjectivestandard.com/2023/05/levelup-2023-scholarships-close-june-14/,LevelUp 2023 is just two weeks away—and you don’t want to miss it. It’s a conference about philosophic ideas and practical tools for excelling in life and fighting for liberty.,"Announcements, LevelUp News",Jackson Upmann,"May 17, 2023"
Brits Should Reject Monarchy and Embrace Rights,https://theobjectivestandard.com/2023/05/brits-should-reject-monarchy-and-embrace-rights/,"If freedom-loving Brits are serious about the moral principles on which liberty depends, they must oppose the monarchy and advance a vision of a free British republic.","History, Politics & Rights",Thomas Walker-Werth,"May 3, 2023"
Level Up in Life Like Never Before,https://theobjectivestandard.com/2023/04/level-up-in-life-like-never-before/,To miss this conference is to miss the opportunity of a lifetime. Join us in Phoenix for the most life-enhancing conference of the year—and possibly of your life.,Announcements,Craig Biddle,"April 20, 2023"
Schools Foment Shootings by Undermining Self-Esteem,https://theobjectivestandard.com/2023/04/schools-foment-shootings-by-undermining-self-esteem/,"Not only do many educators and parents fail to encourage and help children learn how to think and become efficacious, they also paint the whole of mankind as incompetent, or worse, self-destructive.","Education & Parenting, Politics & Rights",Jon Hersey,"April 20, 2023"
"The Case for Nukes: How We Can Beat Global Warming and Create a Free, Open, and Magnificent Future by Robert Zubrin",https://theobjectivestandard.com/2023/04/the-case-for-nukes-how-we-can-beat-global-warming-and-create-a-free-open-and-magnificent-future-by-robert-zubrin/,"The Case for Nukes is a refreshingly rational overview, not just of the merits of nuclear power, but of the potentially wonderful future of the human race and the ideas we must embrace and reject if we want to create a better future for ourselves and our descendants.","Politics & Rights, Reviews, Science & Technology",Thomas Walker-Werth,"April 3, 2023"
Vacation with Objective Standard Institute in Sedona after LevelUp!,https://theobjectivestandard.com/2023/03/vacation-with-objective-standard-institute-in-sedona-after-levelup/,"After sharpening your mind and fueling your soul at LevelUp 2023, what better way to extend the fun than by joining Objective Standard Institute for a vacation in Sedona?","Announcements, LevelUp News",Jackson Upmann,"March 30, 2023"
How to Read a Book: The Classic Guide to Intelligent Reading by Mortimer J. Adler and Charles Van Doren,https://theobjectivestandard.com/2023/03/how-to-read-a-book-the-classic-guide-to-intelligent-reading-by-mortimer-j-adler-and-charles-van-doren/,"How to Read a Book was incredibly important and valuable when it was first published in 1940, and it remains so today. It’s so packed with clear, accessible, and oft-overlooked wisdom that even expert readers will find it an indispensable addition to their libraries.","Education & Parenting, Reviews",Tim White,"March 28, 2023"
What People Say About OSI's Conferences,https://theobjectivestandard.com/2023/03/what-people-say-about-osis-conferences/,"LevelUp 2023 could be the highlight of your year—and the time to register is now! Early-bird pricing, which will save you 20–50% on registration, ends March 15. Here’s an indication of what past attendees say about the conference.","Announcements, LevelUp News",Jackson Upmann,"March 14, 2023"
What’s Love Got to Do With It? Directed by Shekhar Kapur,https://theobjectivestandard.com/2023/03/whats-love-got-to-do-with-it-directed-by-shekhar-kapur/,What’s Love Got to Do With It? is a well-written and refreshingly thoughtful film that shows the crucial importance of honesty and independent thinking in achieving happiness. It is a sensitive yet incisive study of the clash between Islamic and Western cultures—and between collectivism and individualism.,"Arts & Culture, Reviews",Thomas Walker-Werth,"March 14, 2023"
Who Is Max Lugavere?,https://theobjectivestandard.com/2023/03/who-is-max-lugavere/,"Max Lugavere teaches nutrition for optimizing brain health through his bestselling books, including Genius Foods and The Genius Life, as well as his podcast. At LevelUp 2023, Max will discuss the science on nutrition as it currently stands in “Foods for Flourishing.”","Announcements, LevelUp News",Jackson Upmann,"March 10, 2023"
The Stasi Poetry Circle: The Creative Writing Class That Tried to Win the Cold War by Philip Oltermann,https://theobjectivestandard.com/2023/02/the-stasi-poetry-circle-the-creative-writing-class-that-tried-to-win-the-cold-war-by-philip-oltermann/,The Stasi Poetry Circle offers an unusual glimpse of the relationship between communist totalitarianism and the poetic impulses of both its victims and their victimizers.,"History, Reviews",Timothy Sandefur,"February 28, 2023"
The LevelUp 2023 Program Is Announced!,https://theobjectivestandard.com/2023/02/the-levelup-2023-program-is-announced/,"The program for LevelUp 2023 has been posted. Register now for your chance to learn from and engage with world-class thinkers on philosophy, self-development, cultural issues, politics, and the arts.","Announcements, LevelUp News",Jackson Upmann,"February 23, 2023"
"From the Editor, Spring 2023",https://theobjectivestandard.com/2023/02/from-the-editor-spring-2023/,"Welcome to the Spring 2023 issue of The Objective Standard. This begins the journal’s eighteenth year in publication, and I’d like to extend a tremendous thanks to everyone who subscribes and supports our work.","Announcements, Ayn Rand & Objectivism",Jon Hersey,"February 21, 2023"
The Terrifying Prescience of George Orwell’s 1984,https://theobjectivestandard.com/2023/02/the-terrifying-prescience-of-george-orwells-1984/,"First and foremost a magnificent novel, George Orwell’s 1984 is also a terrifyingly prescient political commentary. Written by an Englishman in 1949, it substantially mirrors the trajectory of American politics today.","Arts & Culture, Politics & Rights",Andrew Bernstein,"February 21, 2023"
"Babylon 5: Pioneering, Philosophic Science Fiction",https://theobjectivestandard.com/2023/02/babylon-5-pioneering-philosophic-science-fiction/,Babylon 5 is a unique science-fiction series that tells an epic story rich in philosophic ideas and moral messages. These make it timeless and well worth watching for anyone interested in complex drama.,"Arts & Culture, Philosophy, Reviews",Thomas Walker-Werth,"February 21, 2023"
"Freedom’s Furies: Timothy Sandefur on the Importance of Isabel Paterson,  Rose Wilder Lane, and Ayn Rand",https://theobjectivestandard.com/2023/02/freedoms-furies-timothy-sandefur-on-the-importance-of-isabel-paterson-rose-wilder-lane-and-ayn-rand/,"Isabel Paterson’s The God of the Machine, Rose Wilder Lane’s The Discovery of Freedom, and Ayn Rand’s The Fountainhead, all published in 1943, launched the modern American liberty movement. Freedom’s Furies by Timothy Sandefur is the first book-length exploration of these women's relationships and context.","Philosophy, Politics & Rights",Jon Hersey,"February 21, 2023"
Taylor Swift Fans Should Celebrate Her Becoming a Billionaire,https://theobjectivestandard.com/2023/02/taylor-swift-fans-should-celebrate-her-becoming-a-billionaire/,"Contra those who think it’s not possible to ethically accumulate so much wealth, Taylor Swift has done so by trading value for value—never resorting to force or fraud. She created that wealth, and fans upset about this “need to calm down” and acknowledge this fact.","Arts & Culture, Politics & Rights",Justyna Piątek-Pawłowska,"February 21, 2023"
